image	output	message	updated_at
floorplan/08_157_sinarmas-land-plaza-ex-plaza-bii-sinarmas-land-plaza-menara-3_20170316044216_28090.jpg	clean-images/floorplan/08_157_sinarmas-land-plaza-ex-plaza-bii-sinarmas-land-plaza-menara-3_20170316044216_28090.jpg	Missing output file	2026-06-28T08:03:51+07:00
floorplan/08_294_the-tower-the-tower_20171218091751_92083.jpg	clean-images/floorplan/08_294_the-tower-the-tower_20171218091751_92083.jpg	Missing output file	2026-06-28T07:49:07+07:00
floorplan/08_359_lippo-thamrin-lippo-thamrin_20170317114112_94631.jpg	clean-images/floorplan/08_359_lippo-thamrin-lippo-thamrin_20170317114112_94631.jpg	Codex removal failed	2026-06-28T07:50:58+07:00
floorplan/08_507_the-mansion-bougenville-fontana-office-tower_20170421085541_13127.jpg	clean-images/floorplan/08_507_the-mansion-bougenville-fontana-office-tower_20170421085541_13127.jpg	Missing output file	2026-06-28T08:06:40+07:00
floorplan/11_347_menara-astra-menara-astra_20170404100720_29578.jpg	clean-images/floorplan/11_347_menara-astra-menara-astra_20170404100720_29578.jpg	Missing output file	2026-06-28T07:57:10+07:00
floorplan/14_353_world-trade-center-complex-world-trade-center-3_20170313030400_88631.jpg	clean-images/floorplan/14_353_world-trade-center-complex-world-trade-center-3_20170313030400_88631.jpg	Missing output file	2026-06-28T08:08:42+07:00
interior/05_494_menara-era-menara-era_20170314093320_35150.jpg	clean-images/interior/05_494_menara-era-menara-era_20170314093320_35150.jpg	Missing output file	2026-06-27T19:57:16+07:00
interior/12_108_mayapada-tower-mayapada-tower-2_20171114073621_12695.jpg	clean-images/interior/12_108_mayapada-tower-mayapada-tower-2_20171114073621_12695.jpg	Missing output file	2026-06-27T20:24:25+07:00
interior/13_80_gedung-rifa-gedung-rifa_20180403100324_26187.jpg	clean-images/interior/13_80_gedung-rifa-gedung-rifa_20180403100324_26187.jpg	Missing output file	2026-06-27T20:10:57+07:00
interior/14_136_wisma-bumiputera-wisma-bumiputera_20170214034603_50138.jpg	clean-images/interior/14_136_wisma-bumiputera-wisma-bumiputera_20170214034603_50138.jpg	Missing output file	2026-06-27T19:56:14+07:00
