office_name,media_library_folder,folder_id,before_asset_count,after_asset_count,local_image_count,relative_path,local_category,filename,status,strapi_asset_id,strapi_asset_name,strapi_url,reason,existing_match
01-19-wisma-mulia-2-164740226571430,Media Library/Office Venue/01-19-wisma-mulia-2-164740226571430,1268,1,1,1,floorplan/01_19-Wisma-Mulia-2-164740226571430.jpg,floorplan,01_19-Wisma-Mulia-2-164740226571430.jpg,skipped_existing,49763,01_19-Wisma-Mulia-2-164740226571430.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_19_Wisma_Mulia_2_164740226571430_d8160c766c.jpg,Same name already exists in this Strapi folder,01_19-Wisma-Mulia-2-164740226571430.jpg
01-22-city-lofts-sudirman-city-lofts-sudirman-20170331112111-93221-crop,Media Library/Office Venue/01-22-city-lofts-sudirman-city-lofts-sudirman-20170331112111-93221-crop,1269,1,1,1,floorplan/01_22_city-lofts-sudirman-city-lofts-sudirman_20170331112111_93221_crop.jpg,floorplan,01_22_city-lofts-sudirman-city-lofts-sudirman_20170331112111_93221_crop.jpg,skipped_existing,49764,01_22_city-lofts-sudirman-city-lofts-sudirman_20170331112111_93221_crop.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_22_city_lofts_sudirman_city_lofts_sudirman_20170331112111_93221_crop_15356bba44.jpg,Same name already exists in this Strapi folder,01_22_city-lofts-sudirman-city-lofts-sudirman_20170331112111_93221_crop.jpg
01-adr-tower-floor-plan-1725332696015-0,Media Library/Office Venue/01-adr-tower-floor-plan-1725332696015-0,1270,1,1,1,floorplan/01_adr-tower-floor-plan-1725332696015-0.jpg,floorplan,01_adr-tower-floor-plan-1725332696015-0.jpg,skipped_existing,49765,01_adr-tower-floor-plan-1725332696015-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_adr_tower_floor_plan_1725332696015_0_fe34625432.jpg,Same name already exists in this Strapi folder,01_adr-tower-floor-plan-1725332696015-0.jpg
01-adr-tower-interior-1725332675072-0,Media Library/Office Venue/01-adr-tower-interior-1725332675072-0,1018,1,1,1,interior/01_adr-tower-interior-1725332675072-0.jpg,interior,01_adr-tower-interior-1725332675072-0.jpg,skipped_existing,46287,01_adr-tower-interior-1725332675072-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_adr_tower_interior_1725332675072_0_a2252333ea.jpg,Same name already exists in this Strapi folder,01_adr-tower-interior-1725332675072-0.jpg
01-agung-sedayu-group-floor-plan-1699955706960-0,Media Library/Office Venue/01-agung-sedayu-group-floor-plan-1699955706960-0,1271,1,1,1,floorplan/01_agung-sedayu-group-floor-plan-1699955706960-0.jpg,floorplan,01_agung-sedayu-group-floor-plan-1699955706960-0.jpg,skipped_existing,49766,01_agung-sedayu-group-floor-plan-1699955706960-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_agung_sedayu_group_floor_plan_1699955706960_0_5a1d642795.jpg,Same name already exists in this Strapi folder,01_agung-sedayu-group-floor-plan-1699955706960-0.jpg
01-antam-tower-a-interior-1765446714316-0,Media Library/Office Venue/01-antam-tower-a-interior-1765446714316-0,1019,1,1,1,interior/01_antam-tower-a-interior-1765446714316-0.jpg,interior,01_antam-tower-a-interior-1765446714316-0.jpg,skipped_existing,46288,01_antam-tower-a-interior-1765446714316-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_antam_tower_a_interior_1765446714316_0_aa549eb448.jpg,Same name already exists in this Strapi folder,01_antam-tower-a-interior-1765446714316-0.jpg
01-autograph-tower-interior-1693889985770-0,Media Library/Office Venue/01-autograph-tower-interior-1693889985770-0,1020,1,1,1,interior/01_autograph-tower-interior-1693889985770-0.jpg,interior,01_autograph-tower-interior-1693889985770-0.jpg,skipped_existing,46289,01_autograph-tower-interior-1693889985770-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_autograph_tower_interior_1693889985770_0_df80969350.jpg,Same name already exists in this Strapi folder,01_autograph-tower-interior-1693889985770-0.jpg
01-beltway-office-park-tower-b-floor-plan-1681361846536-0,Media Library/Office Venue/01-beltway-office-park-tower-b-floor-plan-1681361846536-0,1272,1,1,1,floorplan/01_beltway-office-park---tower-b-floor-plan-1681361846536-0.jpg,floorplan,01_beltway-office-park---tower-b-floor-plan-1681361846536-0.jpg,skipped_existing,49767,01_beltway-office-park---tower-b-floor-plan-1681361846536-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_beltway_office_park_tower_b_floor_plan_1681361846536_0_29072daa61.jpg,Same name already exists in this Strapi folder,01_beltway-office-park---tower-b-floor-plan-1681361846536-0.jpg
01-burza-tower-interior-1661137148846-0,Media Library/Office Venue/01-burza-tower-interior-1661137148846-0,1021,1,1,1,interior/01_burza-tower-interior-1661137148846-0.jpg,interior,01_burza-tower-interior-1661137148846-0.jpg,skipped_existing,46290,01_burza-tower-interior-1661137148846-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_burza_tower_interior_1661137148846_0_3e2bcc80e5.jpg,Same name already exists in this Strapi folder,01_burza-tower-interior-1661137148846-0.jpg
01-chubb-square-interior-1698113484457-0,Media Library/Office Venue/01-chubb-square-interior-1698113484457-0,1022,1,1,1,interior/01_chubb-square-interior-1698113484457-0.jpg,interior,01_chubb-square-interior-1698113484457-0.jpg,skipped_existing,46291,01_chubb-square-interior-1698113484457-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_chubb_square_interior_1698113484457_0_04ef917ef2.jpg,Same name already exists in this Strapi folder,01_chubb-square-interior-1698113484457-0.jpg
