office_name,media_library_folder,folder_id,before_asset_count,after_asset_count,local_image_count,relative_path,local_category,filename,status,strapi_asset_id,strapi_asset_name,strapi_url,reason,existing_match
01-19-wisma-mulia-2-164740226571430,Media Library/Office Venue/01-19-wisma-mulia-2-164740226571430,,,,1,floorplan/01_19-Wisma-Mulia-2-164740226571430.jpg,floorplan,01_19-Wisma-Mulia-2-164740226571430.jpg,planned,,,,Dry run only,
01-22-city-lofts-sudirman-city-lofts-sudirman-20170331112111-93221-crop,Media Library/Office Venue/01-22-city-lofts-sudirman-city-lofts-sudirman-20170331112111-93221-crop,,,,1,floorplan/01_22_city-lofts-sudirman-city-lofts-sudirman_20170331112111_93221_crop.jpg,floorplan,01_22_city-lofts-sudirman-city-lofts-sudirman_20170331112111_93221_crop.jpg,planned,,,,Dry run only,
01-adr-tower-floor-plan-1725332696015-0,Media Library/Office Venue/01-adr-tower-floor-plan-1725332696015-0,,,,1,floorplan/01_adr-tower-floor-plan-1725332696015-0.jpg,floorplan,01_adr-tower-floor-plan-1725332696015-0.jpg,planned,,,,Dry run only,
01-adr-tower-interior-1725332675072-0,Media Library/Office Venue/01-adr-tower-interior-1725332675072-0,,,,1,interior/01_adr-tower-interior-1725332675072-0.jpg,interior,01_adr-tower-interior-1725332675072-0.jpg,planned,,,,Dry run only,
01-agung-sedayu-group-floor-plan-1699955706960-0,Media Library/Office Venue/01-agung-sedayu-group-floor-plan-1699955706960-0,,,,1,floorplan/01_agung-sedayu-group-floor-plan-1699955706960-0.jpg,floorplan,01_agung-sedayu-group-floor-plan-1699955706960-0.jpg,planned,,,,Dry run only,
01-antam-tower-a-interior-1765446714316-0,Media Library/Office Venue/01-antam-tower-a-interior-1765446714316-0,,,,1,interior/01_antam-tower-a-interior-1765446714316-0.jpg,interior,01_antam-tower-a-interior-1765446714316-0.jpg,planned,,,,Dry run only,
01-autograph-tower-interior-1693889985770-0,Media Library/Office Venue/01-autograph-tower-interior-1693889985770-0,,,,1,interior/01_autograph-tower-interior-1693889985770-0.jpg,interior,01_autograph-tower-interior-1693889985770-0.jpg,planned,,,,Dry run only,
01-beltway-office-park-tower-b-floor-plan-1681361846536-0,Media Library/Office Venue/01-beltway-office-park-tower-b-floor-plan-1681361846536-0,,,,1,floorplan/01_beltway-office-park---tower-b-floor-plan-1681361846536-0.jpg,floorplan,01_beltway-office-park---tower-b-floor-plan-1681361846536-0.jpg,planned,,,,Dry run only,
01-burza-tower-interior-1661137148846-0,Media Library/Office Venue/01-burza-tower-interior-1661137148846-0,,,,1,interior/01_burza-tower-interior-1661137148846-0.jpg,interior,01_burza-tower-interior-1661137148846-0.jpg,planned,,,,Dry run only,
01-chubb-square-interior-1698113484457-0,Media Library/Office Venue/01-chubb-square-interior-1698113484457-0,,,,1,interior/01_chubb-square-interior-1698113484457-0.jpg,interior,01_chubb-square-interior-1698113484457-0.jpg,planned,,,,Dry run only,
01-citra-north-towers-interior-1672626393374-0,Media Library/Office Venue/01-citra-north-towers-interior-1672626393374-0,,,,1,interior/01_citra-north-towers-interior-1672626393374-0.jpg,interior,01_citra-north-towers-interior-1672626393374-0.jpg,planned,,,,Dry run only,
01-citra-south-towers-interior-1672980661986-0,Media Library/Office Venue/01-citra-south-towers-interior-1672980661986-0,,,,1,interior/01_citra-south-towers-interior-1672980661986-0.jpg,interior,01_citra-south-towers-interior-1672980661986-0.jpg,planned,,,,Dry run only,
01-gedung-pemuda-7-interior-1694485852923-0,Media Library/Office Venue/01-gedung-pemuda-7-interior-1694485852923-0,,,,1,interior/01_gedung-pemuda-7-interior-1694485852923-0.jpg,interior,01_gedung-pemuda-7-interior-1694485852923-0.jpg,planned,,,,Dry run only,
01-gedung-sindo-interior-1728358915689-0,Media Library/Office Venue/01-gedung-sindo-interior-1728358915689-0,,,,1,interior/01_gedung-sindo-interior-1728358915689-0.jpg,interior,01_gedung-sindo-interior-1728358915689-0.jpg,planned,,,,Dry run only,
01-graha-arda-interior-1686801697516-0,Media Library/Office Venue/01-graha-arda-interior-1686801697516-0,,,,1,interior/01_graha-arda-interior-1686801697516-0.jpg,interior,01_graha-arda-interior-1686801697516-0.jpg,planned,,,,Dry run only,
01-graha-dirgantara-interior-1755748881790-0,Media Library/Office Venue/01-graha-dirgantara-interior-1755748881790-0,,,,1,interior/01_graha-dirgantara-interior-1755748881790-0.jpg,interior,01_graha-dirgantara-interior-1755748881790-0.jpg,planned,,,,Dry run only,
01-grha-adhi-media-interior-1708421044511-0,Media Library/Office Venue/01-grha-adhi-media-interior-1708421044511-0,,,,1,interior/01_grha-adhi-media-interior-1708421044511-0.jpg,interior,01_grha-adhi-media-interior-1708421044511-0.jpg,planned,,,,Dry run only,
01-hwa-tower-interior-1692589929400-0,Media Library/Office Venue/01-hwa-tower-interior-1692589929400-0,,,,1,interior/01_hwa-tower-interior-1692589929400-0.jpg,interior,01_hwa-tower-interior-1692589929400-0.jpg,planned,,,,Dry run only,
01-indonesia-stock-exchange-building-tower-2-interior-1668163017400-0,Media Library/Office Venue/01-indonesia-stock-exchange-building-tower-2-interior-1668163017400-0,,,,1,interior/01_indonesia-stock-exchange-building---tower-2-interior-1668163017400-0.jpg,interior,01_indonesia-stock-exchange-building---tower-2-interior-1668163017400-0.jpg,planned,,,,Dry run only,
01-inews-tower-interior-1726799008788-0,Media Library/Office Venue/01-inews-tower-interior-1726799008788-0,,,,1,interior/01_inews-tower-interior-1726799008788-0.jpg,interior,01_inews-tower-interior-1726799008788-0.jpg,planned,,,,Dry run only,
01-liberty-tower-floor-plan-1692157847740-0,Media Library/Office Venue/01-liberty-tower-floor-plan-1692157847740-0,,,,1,floorplan/01_liberty-tower-floor-plan-1692157847740-0.jpg,floorplan,01_liberty-tower-floor-plan-1692157847740-0.jpg,planned,,,,Dry run only,
01-lippo-thamrin-interior-1762403832245-0,Media Library/Office Venue/01-lippo-thamrin-interior-1762403832245-0,,,,1,interior/01_lippo-thamrin-interior-1762403832245-0.jpg,interior,01_lippo-thamrin-interior-1762403832245-0.jpg,planned,,,,Dry run only,
01-lippo-tower-holland-village-interior-1762497203167-0,Media Library/Office Venue/01-lippo-tower-holland-village-interior-1762497203167-0,,,,1,interior/01_lippo-tower-holland-village-interior-1762497203167-0.jpg,interior,01_lippo-tower-holland-village-interior-1762497203167-0.jpg,planned,,,,Dry run only,
01-maritime-tower-interior-1696218941318-0,Media Library/Office Venue/01-maritime-tower-interior-1696218941318-0,,,,1,interior/01_-maritime-tower-interior-1696218941318-0.jpg,interior,01_-maritime-tower-interior-1696218941318-0.jpg,planned,,,,Dry run only,
01-menara-fif-interior-1663921216249-0,Media Library/Office Venue/01-menara-fif-interior-1663921216249-0,,,,1,interior/01_menara-fif-interior-1663921216249-0.jpg,interior,01_menara-fif-interior-1663921216249-0.jpg,planned,,,,Dry run only,
01-menara-karya-floor-plan-1681442873891-0,Media Library/Office Venue/01-menara-karya-floor-plan-1681442873891-0,,,,1,floorplan/01_menara-karya-floor-plan-1681442873891-0.jpg,floorplan,01_menara-karya-floor-plan-1681442873891-0.jpg,planned,,,,Dry run only,
01-menara-merdeka-floor-plan-1758186558261-0,Media Library/Office Venue/01-menara-merdeka-floor-plan-1758186558261-0,,,,1,floorplan/01_menara-merdeka-floor-plan-1758186558261-0.jpg,floorplan,01_menara-merdeka-floor-plan-1758186558261-0.jpg,planned,,,,Dry run only,
