missing_slug	score	suggested_content_id	suggested_building_name	content_url
telesindo-tower	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
telesindo-tower	0.88		Lawu Tower (Ex Telesindo Tower)	
telesindo-tower	0.88		Gedung Sindo	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/234
thamrin-nine-indosurya-plaza	0.88		Menara Thamrin	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/211
thamrin-nine-indosurya-plaza	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
thamrin-nine-indosurya-plaza	0.50		Gedung Samudera Indonesia	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/44
the-smith	0.88		The Plaza	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/205
the-smith	0.88		The Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/475
the-smith	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
wisma-81-toto-office-building	0.88		Office 8	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/144
wisma-81-toto-office-building	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
wisma-81-toto-office-building	0.88		IS Plaza	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/322
wisma-baja	0.88		IS Plaza	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/322
wisma-baja	0.80		Wisma Aria	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/102
wisma-baja	0.78		Wisma Raharja	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/459
wisma-bisnis-indonesia	0.96		Wisma Bisnis Indonesia 1	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/236
wisma-bisnis-indonesia	0.96		Wisma Bisnis Indonesia 2	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/54
wisma-bisnis-indonesia	0.88		One Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/79
wisma-sejahtera	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
wisma-sejahtera	0.88		IS Plaza	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/322
wisma-sejahtera	0.88		Menara Era	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/623
xl-axiata	0.88		XL Smart Tower (Ex XL Axiata)	
xl-axiata	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
xl-axiata	0.57		Plaza Aminta	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/609
