office_name,media_library_folder,folder_id,before_asset_count,after_asset_count,local_image_count,relative_path,local_category,filename,status,strapi_asset_id,strapi_asset_name,strapi_url,reason,existing_match
01-adr-tower-interior-1725332675072-0,Media Library/Office Venue/01-adr-tower-interior-1725332675072-0,1018,0,1,1,interior/01_adr-tower-interior-1725332675072-0.jpg,interior,01_adr-tower-interior-1725332675072-0.jpg,uploaded,46287,01_adr-tower-interior-1725332675072-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_adr_tower_interior_1725332675072_0_a2252333ea.jpg,,
01-antam-tower-a-interior-1765446714316-0,Media Library/Office Venue/01-antam-tower-a-interior-1765446714316-0,1019,0,1,1,interior/01_antam-tower-a-interior-1765446714316-0.jpg,interior,01_antam-tower-a-interior-1765446714316-0.jpg,uploaded,46288,01_antam-tower-a-interior-1765446714316-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_antam_tower_a_interior_1765446714316_0_aa549eb448.jpg,,
01-autograph-tower-interior-1693889985770-0,Media Library/Office Venue/01-autograph-tower-interior-1693889985770-0,1020,0,1,1,interior/01_autograph-tower-interior-1693889985770-0.jpg,interior,01_autograph-tower-interior-1693889985770-0.jpg,uploaded,46289,01_autograph-tower-interior-1693889985770-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_autograph_tower_interior_1693889985770_0_df80969350.jpg,,
01-burza-tower-interior-1661137148846-0,Media Library/Office Venue/01-burza-tower-interior-1661137148846-0,1021,0,1,1,interior/01_burza-tower-interior-1661137148846-0.jpg,interior,01_burza-tower-interior-1661137148846-0.jpg,uploaded,46290,01_burza-tower-interior-1661137148846-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_burza_tower_interior_1661137148846_0_3e2bcc80e5.jpg,,
01-chubb-square-interior-1698113484457-0,Media Library/Office Venue/01-chubb-square-interior-1698113484457-0,1022,0,1,1,interior/01_chubb-square-interior-1698113484457-0.jpg,interior,01_chubb-square-interior-1698113484457-0.jpg,uploaded,46291,01_chubb-square-interior-1698113484457-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_chubb_square_interior_1698113484457_0_04ef917ef2.jpg,,
01-citra-north-towers-interior-1672626393374-0,Media Library/Office Venue/01-citra-north-towers-interior-1672626393374-0,1023,0,1,1,interior/01_citra-north-towers-interior-1672626393374-0.jpg,interior,01_citra-north-towers-interior-1672626393374-0.jpg,uploaded,46292,01_citra-north-towers-interior-1672626393374-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_citra_north_towers_interior_1672626393374_0_a4398a0fbb.jpg,,
01-citra-south-towers-interior-1672980661986-0,Media Library/Office Venue/01-citra-south-towers-interior-1672980661986-0,1024,0,1,1,interior/01_citra-south-towers-interior-1672980661986-0.jpg,interior,01_citra-south-towers-interior-1672980661986-0.jpg,uploaded,46293,01_citra-south-towers-interior-1672980661986-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_citra_south_towers_interior_1672980661986_0_004cb750ed.jpg,,
01-gedung-pemuda-7-interior-1694485852923-0,Media Library/Office Venue/01-gedung-pemuda-7-interior-1694485852923-0,1025,0,1,1,interior/01_gedung-pemuda-7-interior-1694485852923-0.jpg,interior,01_gedung-pemuda-7-interior-1694485852923-0.jpg,uploaded,46294,01_gedung-pemuda-7-interior-1694485852923-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_gedung_pemuda_7_interior_1694485852923_0_7273d1b297.jpg,,
01-gedung-sindo-interior-1728358915689-0,Media Library/Office Venue/01-gedung-sindo-interior-1728358915689-0,1026,0,1,1,interior/01_gedung-sindo-interior-1728358915689-0.jpg,interior,01_gedung-sindo-interior-1728358915689-0.jpg,uploaded,46295,01_gedung-sindo-interior-1728358915689-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_gedung_sindo_interior_1728358915689_0_292394bded.jpg,,
01-graha-arda-interior-1686801697516-0,Media Library/Office Venue/01-graha-arda-interior-1686801697516-0,1027,0,1,1,interior/01_graha-arda-interior-1686801697516-0.jpg,interior,01_graha-arda-interior-1686801697516-0.jpg,uploaded,46296,01_graha-arda-interior-1686801697516-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_graha_arda_interior_1686801697516_0_e1a7679046.jpg,,
01-graha-dirgantara-interior-1755748881790-0,Media Library/Office Venue/01-graha-dirgantara-interior-1755748881790-0,1028,0,1,1,interior/01_graha-dirgantara-interior-1755748881790-0.jpg,interior,01_graha-dirgantara-interior-1755748881790-0.jpg,uploaded,46297,01_graha-dirgantara-interior-1755748881790-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_graha_dirgantara_interior_1755748881790_0_e3a5a22fd6.jpg,,
01-grha-adhi-media-interior-1708421044511-0,Media Library/Office Venue/01-grha-adhi-media-interior-1708421044511-0,1029,0,1,1,interior/01_grha-adhi-media-interior-1708421044511-0.jpg,interior,01_grha-adhi-media-interior-1708421044511-0.jpg,uploaded,46298,01_grha-adhi-media-interior-1708421044511-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_grha_adhi_media_interior_1708421044511_0_435f26ee11.jpg,,
01-hwa-tower-interior-1692589929400-0,Media Library/Office Venue/01-hwa-tower-interior-1692589929400-0,1030,0,1,1,interior/01_hwa-tower-interior-1692589929400-0.jpg,interior,01_hwa-tower-interior-1692589929400-0.jpg,uploaded,46299,01_hwa-tower-interior-1692589929400-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_hwa_tower_interior_1692589929400_0_450d8b2c85.jpg,,
01-indonesia-stock-exchange-building-tower-2-interior-1668163017400-0,Media Library/Office Venue/01-indonesia-stock-exchange-building-tower-2-interior-1668163017400-0,1031,0,1,1,interior/01_indonesia-stock-exchange-building---tower-2-interior-1668163017400-0.jpg,interior,01_indonesia-stock-exchange-building---tower-2-interior-1668163017400-0.jpg,uploaded,46300,01_indonesia-stock-exchange-building---tower-2-interior-1668163017400-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_indonesia_stock_exchange_building_tower_2_interior_1668163017400_0_6063b5d345.jpg,,
01-inews-tower-interior-1726799008788-0,Media Library/Office Venue/01-inews-tower-interior-1726799008788-0,1032,0,1,1,interior/01_inews-tower-interior-1726799008788-0.jpg,interior,01_inews-tower-interior-1726799008788-0.jpg,uploaded,46301,01_inews-tower-interior-1726799008788-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_inews_tower_interior_1726799008788_0_023ce8f7dc.jpg,,
01-lippo-thamrin-interior-1762403832245-0,Media Library/Office Venue/01-lippo-thamrin-interior-1762403832245-0,1033,0,1,1,interior/01_lippo-thamrin-interior-1762403832245-0.jpg,interior,01_lippo-thamrin-interior-1762403832245-0.jpg,uploaded,46302,01_lippo-thamrin-interior-1762403832245-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_lippo_thamrin_interior_1762403832245_0_48ed39deef.jpg,,
01-lippo-tower-holland-village-interior-1762497203167-0,Media Library/Office Venue/01-lippo-tower-holland-village-interior-1762497203167-0,1034,0,1,1,interior/01_lippo-tower-holland-village-interior-1762497203167-0.jpg,interior,01_lippo-tower-holland-village-interior-1762497203167-0.jpg,uploaded,46303,01_lippo-tower-holland-village-interior-1762497203167-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_lippo_tower_holland_village_interior_1762497203167_0_33c28c8755.jpg,,
01-maritime-tower-interior-1696218941318-0,Media Library/Office Venue/01-maritime-tower-interior-1696218941318-0,1035,0,1,1,interior/01_-maritime-tower-interior-1696218941318-0.jpg,interior,01_-maritime-tower-interior-1696218941318-0.jpg,uploaded,46304,01_-maritime-tower-interior-1696218941318-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_maritime_tower_interior_1696218941318_0_05fabc03e7.jpg,,
01-menara-fif-interior-1663921216249-0,Media Library/Office Venue/01-menara-fif-interior-1663921216249-0,1036,0,1,1,interior/01_menara-fif-interior-1663921216249-0.jpg,interior,01_menara-fif-interior-1663921216249-0.jpg,uploaded,46305,01_menara-fif-interior-1663921216249-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_menara_fif_interior_1663921216249_0_365181e821.jpg,,
01-mgold-tower-interior-1721882516716-0,Media Library/Office Venue/01-mgold-tower-interior-1721882516716-0,1037,0,1,1,interior/01_mgold-tower-interior-1721882516716-0.jpg,interior,01_mgold-tower-interior-1721882516716-0.jpg,uploaded,46306,01_mgold-tower-interior-1721882516716-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_mgold_tower_interior_1721882516716_0_ec907896cd.jpg,,
01-midpoint-place-interior-1729505872272-0,Media Library/Office Venue/01-midpoint-place-interior-1729505872272-0,1038,0,1,1,interior/01_midpoint-place-interior-1729505872272-0.jpg,interior,01_midpoint-place-interior-1729505872272-0.jpg,uploaded,46307,01_midpoint-place-interior-1729505872272-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_midpoint_place_interior_1729505872272_0_e224fec90d.jpg,,
01-mmp-building-interior-1725436819817-0,Media Library/Office Venue/01-mmp-building-interior-1725436819817-0,1039,0,1,1,interior/01_mmp-building-interior-1725436819817-0.jpg,interior,01_mmp-building-interior-1725436819817-0.jpg,uploaded,46308,01_mmp-building-interior-1725436819817-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_mmp_building_interior_1725436819817_0_4754827322.jpg,,
01-mugi-griya-interior-1772426450170-0,Media Library/Office Venue/01-mugi-griya-interior-1772426450170-0,1040,0,1,1,interior/01_mugi-griya-interior-1772426450170-0.jpg,interior,01_mugi-griya-interior-1772426450170-0.jpg,uploaded,46309,01_mugi-griya-interior-1772426450170-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_mugi_griya_interior_1772426450170_0_f87722cb3a.jpg,,
01-pakuwon-tower-interior-1662347493140-0,Media Library/Office Venue/01-pakuwon-tower-interior-1662347493140-0,1041,0,1,1,interior/01_pakuwon-tower-interior-1662347493140-0.jpg,interior,01_pakuwon-tower-interior-1662347493140-0.jpg,uploaded,46310,01_pakuwon-tower-interior-1662347493140-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_pakuwon_tower_interior_1662347493140_0_8974e3c839.jpg,,
01-park-tower-interior-1726798944311-0,Media Library/Office Venue/01-park-tower-interior-1726798944311-0,1042,0,1,1,interior/01_park-tower-interior-1726798944311-0.jpg,interior,01_park-tower-interior-1726798944311-0.jpg,uploaded,46311,01_park-tower-interior-1726798944311-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_park_tower_interior_1726798944311_0_272824f94c.jpg,,
01-plaza-galeon-interior-1697001831443-0,Media Library/Office Venue/01-plaza-galeon-interior-1697001831443-0,1043,0,1,1,interior/01_plaza-galeon-interior-1697001831443-0.jpg,interior,01_plaza-galeon-interior-1697001831443-0.jpg,uploaded,46312,01_plaza-galeon-interior-1697001831443-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_plaza_galeon_interior_1697001831443_0_39cc58b4c6.jpg,,
01-propan-tower-interior-1722582088458-0,Media Library/Office Venue/01-propan-tower-interior-1722582088458-0,1044,0,1,1,interior/01_propan-tower-interior-1722582088458-0.jpg,interior,01_propan-tower-interior-1722582088458-0.jpg,uploaded,46313,01_propan-tower-interior-1722582088458-0.jpg,https://cdn-strapi.prod.99iddev.net/assets/01_propan_tower_interior_1722582088458_0_574b74b33e.jpg,,
